capture_date	bridge_version	request_id	date_from	date_to	sku	query_index	query	unique_search_users	unique_view_users	view_conversion	position	order_count	gmv	currency
2026-09-11	0.1.19	c527ff0d-53dc-4ea1-9143-04142d37ddd5	2026-08-13	2026-09-10	1636048691	1	подвеска	40945	NULL	NULL	NULL	0	0	RUB
2026-09-11	0.1.19	c527ff0d-53dc-4ea1-9143-04142d37ddd5	2026-08-13	2026-09-10	1636048691	2	в машину	9324	NULL	NULL	NULL	0	836	RUB
2026-09-11	0.1.19	c527ff0d-53dc-4ea1-9143-04142d37ddd5	2026-08-13	2026-09-10	1636048691	3	зеркало	8794	NULL	NULL	NULL	0	0	RUB
2026-09-11	0.1.19	c527ff0d-53dc-4ea1-9143-04142d37ddd5	2026-08-13	2026-09-10	1636048691	4	оберег	5196	NULL	NULL	NULL	0	681	RUB
2026-09-11	0.1.19	c527ff0d-53dc-4ea1-9143-04142d37ddd5	2026-08-13	2026-09-10	1636048691	5	оберег для дома	3289	NULL	NULL	NULL	0	0	RUB
2026-09-11	0.1.19	c527ff0d-53dc-4ea1-9143-04142d37ddd5	2026-08-13	2026-09-10	1636048691	6	амулет	3190	NULL	NULL	NULL	0	1071	RUB
2026-09-11	0.1.19	c527ff0d-53dc-4ea1-9143-04142d37ddd5	2026-08-13	2026-09-10	1636048691	7	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
2026-09-11	0.1.19	c527ff0d-53dc-4ea1-9143-04142d37ddd5	2026-08-13	2026-09-10	1636048691	8	талисман	2780	NULL	NULL	NULL	0	0	RUB
2026-09-11	0.1.19	c527ff0d-53dc-4ea1-9143-04142d37ddd5	2026-08-13	2026-09-10	1636048691	9	магия	2178	NULL	NULL	NULL	0	0	RUB
2026-09-11	0.1.19	c527ff0d-53dc-4ea1-9143-04142d37ddd5	2026-08-13	2026-09-10	1636048691	10	оберег от сглаза и порчи	2126	NULL	NULL	NULL	0	0	RUB
