measurement_id,query_id,query,rank,url,domain,title,snippet,modtime,region,request_id,http_status,elapsed_ms,request_executed,automatic_retry,response_format,classification
m_search_20260826_99eac125,q_99eac125dfed,вегвизир значение,1,https://ruyan-master.ru/stati/runicheskij-kompas-vegvizir,ruyan-master.ru,Компас Вегвизир - скандинавский рунический компас викингов...,"Значение скандинавского оберега Вегвизир. Вегвизир — это указатель пути. Значение трактуется как в прямом, так и в переносном смысле.",20220322T204200,225,search-9739861a-3871-47de-a904-0a9049c1a663,200,1627,true,false,FORMAT_XML,specialist_editorial_meaning
m_search_20260826_99eac125,q_99eac125dfed,вегвизир значение,2,"https://tr-page.yandex.ru/translate?lang=en-ru&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FVegv%25C3%25ADsir",tr-page.yandex.ru,Вегвизир - Vegvísir - Википедия,"Вегвизир - это сложное слово, образованное из двух исландских слов: vegur (букв. «путь») и vísir (букв. «показывать + -er»). Вегур означает «путь, дорога, стезя», а висир - это измененная форма виса, «показывать, давать знать, направлять, указывать».[5] Его значение сравнимо с английским wise, например, «оно указывает кому-то правильный путь».[6].",20081226T111217,225,search-9739861a-3871-47de-a904-0a9049c1a663,200,1627,true,false,FORMAT_XML,reference_meaning
m_search_20260826_99eac125,q_99eac125dfed,вегвизир значение,3,http://runarium.ru/vegvizir,runarium.ru,Вегвизир – указатель пути,"Вегвизир – указатель пути. Нужно понимать, что гальдраставы – это не карты Таро или Гильдебранда, это математически точные символы, графическое изображение которых строго определено, столь же строго определено и их значение.",20170615T030000,225,search-9739861a-3871-47de-a904-0a9049c1a663,200,1627,true,false,FORMAT_XML,specialist_editorial_meaning
m_search_20260826_99eac125,q_99eac125dfed,вегвизир значение,4,https://zevira.ru/ru-ru/information/articles/vegvizir-vikingskij-kompas-znachenie,zevira.ru,Вегвизир: значение символа, история компаса викингов (2026),"Вегвизир: значение и история символа «компаса викингов». Вегвизир (от древнеисландского vegur, «путь», и vísir, «указатель») представляет собой восьмилучевой магический став из исландской традиции Гальдраставир, призванный помогать носителю находить свой путь в бурю и в незнакомой местности.",20260517T173413,225,search-9739861a-3871-47de-a904-0a9049c1a663,200,1627,true,false,FORMAT_XML,editorial_meaning
m_search_20260826_99eac125,q_99eac125dfed,вегвизир значение,5,https://pikabu.ru/story/vegvizir__ukazatel_puti_7241329,pikabu.ru,Вегвизир – указатель пути | Пикабу,"Значение вегвизира сводится к помощи в поисках пути к намеченной цели во время шторма или непогоды. Вегвизир относится к морским гальдраставам, то есть его использовали только моряки, данная версия поддерживается Л. Кораблевыми и другими скандинавоведами.",20200219T224117,225,search-9739861a-3871-47de-a904-0a9049c1a663,200,1627,true,false,FORMAT_XML,community_meaning
m_search_20260826_99eac125,q_99eac125dfed,вегвизир значение,6,https://www.bikerringshop.com/ru/blogs/articles/vegvisir-meaning-viking-compass,www.bikerringshop.com,Vegvísir: истинное происхождение символа-компаса,"Значение Vegvísir: «компас викингов», который на самом деле не викингский. июль 26, 2026. Знак-путеводитель vegvísir, нарисованный чернилами на старом пергаменте рядом со свечой и пером. Главное. Vegvísir — «компас викингов» — это исландский магический знак, впервые зафиксированный в рукописи Huld в 1860 году, примерно через 800 лет после...",20260721T204238,225,search-9739861a-3871-47de-a904-0a9049c1a663,200,1627,true,false,FORMAT_XML,commerce_editorial_meaning
m_search_20260826_99eac125,q_99eac125dfed,вегвизир значение,7,https://vk.ru/wall-103323911_77378,vk.ru,Что такое Вегвизир Это символ, родиной которого принято...,"Значение в мифологии. Вегвизир отождествляет компас. Он указывает верную дорогу, ведущую к тихому пристанищу. … Наши предки верили, что Вегвизир способен наставить владельца на истинный путь. Он поможет принять верное решение, сделать достойный выбор и защитит подопечного от любого зла. Значение рунического компаса Вегвизир.",20240728T170016,225,search-9739861a-3871-47de-a904-0a9049c1a663,200,1627,true,false,FORMAT_XML,community_meaning
m_search_20260826_99eac125,q_99eac125dfed,вегвизир значение,8,https://elarus.ru/blog/runicheskiy-kompas/,elarus.ru,Рунический компас Вегвизир: значение символа (тату),"Значение рунического компаса. Вегвизир означает «указатель пути» . Его невозможно разобрать на отдельные руны. Древние значения до наших дней не сохранились. Гальдрастав читается весь, целиком. Вегвизир представляет собой круг, в котором линиями от центра отходят восемь лучей.",20220630T002909,225,search-9739861a-3871-47de-a904-0a9049c1a663,200,1627,true,false,FORMAT_XML,specialist_editorial_meaning
m_search_20260826_99eac125,q_99eac125dfed,вегвизир значение,9,https://stramiloff.ru/tpost/4r3yrryj71-vegvizir,stramiloff.ru,Вегвизир,"Вегвизир (от исл. «vegvísir» — путеводитель) — это символ в виде компаса, который имеет свои корни в исландской магической традиции и часто ассоциируется с навигацией и защитой в путешествиях. … Корабль в скандинавской культуре также имеет большое значение.",20240217T170120,225,search-9739861a-3871-47de-a904-0a9049c1a663,200,1627,true,false,FORMAT_XML,editorial_meaning
m_search_20260826_99eac125,q_99eac125dfed,вегвизир значение,10,https://www.youtube.com/watch?v=IBpoN10pl6o,www.youtube.com,Вегвизир - Указатель Пути - YouTube,,20200223T094936,225,search-9739861a-3871-47de-a904-0a9049c1a663,200,1627,true,false,FORMAT_XML,video_meaning
