block_id	sku	product_id	current_title	query	machine_relevance	machine_decision	observed_search_users	observed_orders	observed_gmv	machine_card_evidence	machine_ownership_type	manual_decision	manual_reason_code	manual_reason	approved_destination_field	approved_change	reviewer	review_status
B02	1640306007	1124725450	"Славянский оберег - Подвеска на зеркало в машину ""Молвинец"""	магический амулет , молвинец оберег	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=молвинец	SKU_SPECIFIC	REJECT	NO_CHANGE_ALREADY_COVERED	Молвинец уже назван оберегом в title и амулетом в описании; новой семантики нет.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B02	1640306007	1124725450	"Славянский оберег - Подвеска на зеркало в машину ""Молвинец"""	молвинец золотой	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=молвинец	SKU_SPECIFIC	REJECT	MATERIAL_OR_COLOR_MISMATCH	«Золотой» не подтверждён текущими данными SKU и может означать иной материал/вариант.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B02	1640330072	1124755617	"Славянский оберег - Подвеска на зеркало в машину ""Громовик"""	брелок громовик	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=громовик	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Брелок — другой товарный формат.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B02	1640330072	1124755617	"Славянский оберег - Подвеска на зеркало в машину ""Громовик"""	громовик колесо	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=громовик	SKU_SPECIFIC	HOLD	AMBIGUOUS_VARIANT	Связь «колесо» с конкретным дизайном текущего Громовика не подтверждена карточкой.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B02	1720124782	1217110817	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Стрелец"""	висюльки в машину на зеркало знак диака стрелец	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=стрелец	SKU_SPECIFIC	REJECT	NO_CHANGE_ALREADY_COVERED	Несмотря на разговорную форму, это ровно текущий товарный интент: подвеска в машину знака Стрелец, уже покрытый title/description.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B02	1720124782	1217110817	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Стрелец"""	железный стрелец	STRONG_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=стрелец	SKU_SPECIFIC	REJECT	MATERIAL_MISMATCH	Запрос требует железный вариант; текущий талисман деревянный.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B02	1720124782	1217110817	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Стрелец"""	колокольчик оберег в машину стрелец	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=стрелец	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Запрос про колокольчик; текущий SKU — талисман-подвеска без такого подтверждения.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B02	1720124782	1217110817	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Стрелец"""	коннектор стрелец	STRONG_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=стрелец	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Коннектор/фурнитура — другой товарный тип.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B02	1720124782	1217110817	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Стрелец"""	кролик стрелец и	STRONG_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=стрелец	FAMILY_SHARED	REJECT	DIFFERENT_ENTITY	Запрос про иной объект/мотив; одного слова «Стрелец» недостаточно.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B02	1720124782	1217110817	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Стрелец"""	"магазин ""стрелец"	STRONG_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=стрелец	FAMILY_SHARED	REJECT	NON_PRODUCT_OR_OTHER_ENTITY	Запрос выглядит навигационным/по названию магазина, не по товару.			MAIN_CHATGPT	FINAL_FOR_BLOCK
