block_id	sku	product_id	current_title	query	machine_relevance	machine_decision	observed_search_users	observed_orders	observed_gmv	machine_card_evidence	machine_ownership_type	manual_decision	manual_reason_code	manual_reason	approved_destination_field	approved_change	reviewer	review_status
B01	1602717077	1082855228	"Амулет - Подвеска на зеркало в машину ""Шлем ужаса - Эгисхьяльм""."	браслет мужской с шлем ужаса	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=шлем,ужаса	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Запрос про мужской браслет, а SKU — автомобильная подвеска; совпадение только по символу «Шлем ужаса».			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1602717077	1082855228	"Амулет - Подвеска на зеркало в машину ""Шлем ужаса - Эгисхьяльм""."	браслет шлем ужаса серебро	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=шлем,ужаса	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE_AND_MATERIAL	Запрос про серебряный браслет; SKU — деревянная автомобильная подвеска.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1602717077	1082855228	"Амулет - Подвеска на зеркало в машину ""Шлем ужаса - Эгисхьяльм""."	бусина шлем ужаса	EXACT_PRODUCT	READY_CANDIDATE	3.0	0.0	0.0	TITLE: token evidence=шлем,ужаса	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Запрос про бусину, а не готовую автомобильную подвеску.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1602717077	1082855228	"Амулет - Подвеска на зеркало в машину ""Шлем ужаса - Эгисхьяльм""."	зеркальце на шлем	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=шлем	SKU_SPECIFIC	REJECT	LEXICAL_FALSE_POSITIVE	«Шлем» здесь относится к предмету экипировки; связь с символом Эгисхьяльм отсутствует.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1602717077	1082855228	"Амулет - Подвеска на зеркало в машину ""Шлем ужаса - Эгисхьяльм""."	кому в шлем	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=шлем	SKU_SPECIFIC	REJECT	NO_DEFENSIBLE_PRODUCT_INTENT	Фраза не формирует релевантный товарный интент для текущего SKU.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1602717077	1082855228	"Амулет - Подвеска на зеркало в машину ""Шлем ужаса - Эгисхьяльм""."	шлем брелок на	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=шлем	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Запрос указывает на брелок/предмет со шлемом, не на автомобильную подвеску.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1602717077	1082855228	"Амулет - Подвеска на зеркало в машину ""Шлем ужаса - Эгисхьяльм""."	шлем ужаса серебро	EXACT_PRODUCT	READY_CANDIDATE	44.0	0.0	1008.0	TITLE: token evidence=шлем,ужаса	SKU_SPECIFIC	REJECT	MATERIAL_OR_PRODUCT_MISMATCH	Запрос с модификатором «серебро» не соответствует деревянному SKU; добавлять его в карточку нельзя.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1602717077	1082855228	"Амулет - Подвеска на зеркало в машину ""Шлем ужаса - Эгисхьяльм""."	шлем ужаса шарм	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=шлем,ужаса	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Шарм — другой тип изделия; совпадение только по символу.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1611643847	1092556350	"Амулет - Подвеска на зеркало в машину ""Гунгнир (Gungner)"" - Копьё Одина."	гунгнир копье не	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=гунгнир,копье	SKU_SPECIFIC	REJECT	NO_CHANGE_ALREADY_COVERED	Смысл «Гунгнир / копьё» уже явно присутствует в title и описании; новой семантики для карточки нет.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1611643847	1092556350	"Амулет - Подвеска на зеркало в машину ""Гунгнир (Gungner)"" - Копьё Одина."	гунгнир копьем одиума	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=гунгнир	SKU_SPECIFIC	REJECT	NO_CHANGE_ALREADY_COVERED	Несмотря на искажение фразы, ядро «Гунгнир / копьё Одина» уже покрыто карточкой.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1611643847	1092556350	"Амулет - Подвеска на зеркало в машину ""Гунгнир (Gungner)"" - Копьё Одина."	доска гунгнир	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=гунгнир	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Модификатор «доска» указывает на другой товарный тип.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1611643847	1092556350	"Амулет - Подвеска на зеркало в машину ""Гунгнир (Gungner)"" - Копьё Одина."	коп гунгнир один	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=гунгнир	SKU_SPECIFIC	REJECT	NO_CHANGE_ALREADY_COVERED	Вероятная опечаточная форма «Гунгнир / Один» уже покрыта названием и описанием.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1611643847	1092556350	"Амулет - Подвеска на зеркало в машину ""Гунгнир (Gungner)"" - Копьё Одина."	копье 1/12	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=копье	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Масштаб 1/12 указывает на модель/миниатюру копья, не на амулет-подвеску.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1611643847	1092556350	"Амулет - Подвеска на зеркало в машину ""Гунгнир (Gungner)"" - Копьё Одина."	копье бога	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=копье	SKU_SPECIFIC	HOLD	AMBIGUOUS_MOTIF	Фраза может относиться к Гунгниру, но не содержит достаточной идентификации Одина/Гунгнира для безопасного назначения SKU.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1611643847	1092556350	"Амулет - Подвеска на зеркало в машину ""Гунгнир (Gungner)"" - Копьё Одина."	копье дерева 200 см	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=копье	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE_AND_DIMENSION	Запрос про крупное деревянное копьё 200 см; SKU — подвеска 36 см.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1611643847	1092556350	"Амулет - Подвеска на зеркало в машину ""Гунгнир (Gungner)"" - Копьё Одина."	копье ммг	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=копье	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	ММГ означает макет оружия; это другой товарный класс.			MAIN_CHATGPT	FINAL_FOR_BLOCK
