block_id	sku	product_id	current_title	query	machine_relevance	machine_decision	observed_search_users	observed_orders	observed_gmv	machine_card_evidence	machine_ownership_type	manual_decision	manual_reason_code	manual_reason	approved_destination_field	approved_change	reviewer	review_status
B01	1611695246	1092558299	"Амулет - Подвеска на зеркало в машину ""Валькнут (Valknut)"" - Узел павших."	майка валькнут	EXACT_PRODUCT	READY_CANDIDATE	2.0	0.0	0.0	TITLE: token evidence=валькнут	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Майка с символом Валькнут — другой товарный тип.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1611695246	1092558299	"Амулет - Подвеска на зеркало в машину ""Валькнут (Valknut)"" - Узел павших."	трафарет узел валькнутв	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=узел	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Трафарет Валькнута — другой товарный тип.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1611695246	1092558299	"Амулет - Подвеска на зеркало в машину ""Валькнут (Valknut)"" - Узел павших."	узел анама кара подвеска	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=узел	SKU_SPECIFIC	REJECT	DIFFERENT_MOTIF	Anam Cara/иной узел не подтверждает Валькнут; совпадение по слову «узел» недостаточно.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1623753672	1106060257	"Амулет - Подвеска на зеркало в машину ""Древо Жизни"""	доево жизни	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=жизни	SKU_SPECIFIC	REJECT	NO_CHANGE_ALREADY_COVERED	Вероятная опечатка «древо жизни»; точное понятие уже есть в title и описании.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1623753672	1106060257	"Амулет - Подвеска на зеркало в машину ""Древо Жизни"""	древо жизни кресты	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=древо,жизни	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_MODIFIER	«Кресты» задаёт иной предмет/дизайн; карточка не подтверждает такой вариант.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1623753672	1106060257	"Амулет - Подвеска на зеркало в машину ""Древо Жизни"""	подвеска в машину на зеркало из камня с древом жизни	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=жизни	SKU_SPECIFIC	REJECT	MATERIAL_MISMATCH	Запрос прямо требует камень, тогда как SKU подтверждён как деревянный.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1629553898	1112723580	"Талисман - Подвеска на зеркало в машину ""Инь и Ян"". Оберег."	ботинки инь и ян	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=инь,ян	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Ботинки с символом Инь-Ян — другой товар.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1629553898	1112723580	"Талисман - Подвеска на зеркало в машину ""Инь и Ян"". Оберег."	игрушка лиса инь - ян	STRONG_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=инь,ян	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Игрушка-лиса с мотивом Инь-Ян — другой товарный тип.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1629553898	1112723580	"Талисман - Подвеска на зеркало в машину ""Инь и Ян"". Оберег."	инь ян конверт	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=инь,ян	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Конверт с мотивом Инь-Ян — другой товар.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B01	1629553898	1112723580	"Талисман - Подвеска на зеркало в машину ""Инь и Ян"". Оберег."	инь ян свечи	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=инь,ян	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Свечи Инь-Ян — другой товар.			MAIN_CHATGPT	FINAL_FOR_BLOCK
