schema_version,opportunity_id,opportunity_name,query_roots,job_lanes,intent_quality,H,A,C,O,score_confidence,strongest_positive_evidence,strongest_negative_evidence,overlap_risk,next_evidence_dependency,status,notes
1.0,OU01,Slavic category,славянские обереги,category exploration / purchase; broad symbol discovery,CLEAN,,,,,,Large Wordstat demand + specialist independent dominance across desktop/touch,Category root can overlap named-symbol demand,MEDIUM,05.2 evidence scoring,,Analysis unit; not a page count
1.0,OU02,Печать Велеса family,печать велеса; печать велеса значение; bear/wolf supporting variants,evaluate/buy; meaning/history/suitability,CLEAN,,,,,,Base transactional Search + independently confirmed meaning-first split,Commercial and meaning lanes may overlap in one future asset,HIGH,05.2 evidence scoring,,One family with two proven job lanes
1.0,OU03,Automotive protection,оберег в машину; амулет в машину; славянский оберег в машину; какой оберег выбрать в машину,protection/use-case selection; product purchase,CLEAN,,,,,,Strong mobile-first demand + Search/Alice shopping/selection convergence,Marketplace pressure and multiple protection traditions,MEDIUM,05.2 evidence scoring,,`амулет в машину` merged by direct Search evidence
1.0,OU04,Mirror-pendant form factor,подвеска на зеркало в машину; подвеска печать велеса,form-factor shopping; decor/personalization/symbol selection,MIXED,,,,,,Meaningful demand + near-pure transactional Search + direct Alice products,Commodity/decor/fandom contamination,HIGH,05.2 evidence scoring,,Separate from protection job; not necessarily separate page
1.0,OU05,Алатырь named symbol,алатырь оберег,evaluate/buy; meaning/suitability,CLEAN,,,,,,Meaningful demand + commercial Search + Alice meaning + direct Blood & Sand marketplace visibility,Owned-site performance absent,MEDIUM,05.2 evidence scoring,,Marketplace visibility is not owned-site visibility
1.0,OU06,Veles broader symbol family,оберег велес,choose Veles symbol forms; suitability/meaning; light commerce,MIXED,,,,,,Strong niche independent competition + Alice treats Veles as symbol family,Substantial overlap with Печать Велеса,HIGH,05.2 scoring then 05.3 overlap resolution,,Provisionally distinct analysis unit
1.0,OU07,Vegvisir family,вегвизир; вегвизир значение,entity/commercial evaluation; history/meaning/origin,CLEAN,,,,,,High demand + independently replicated meaning split + specialist source opportunity,Historical accuracy and mixed entity intent matter,HIGH,05.2 evidence scoring,,One family with commercial/entity and meaning lanes
1.0,OU08,Шлем Ужаса / Агисхьяльм,шлем ужаса оберег,named-symbol purchase; meaning/history support,CLEAN,,,,,,Coherent commerce-first Top-10 with specialist + marketplaces,Smaller demand than Vegvisir/Major Slavic roots,MEDIUM,05.2 evidence scoring,,Adjacent named-symbol opportunity
1.0,OU09,Zodiac-related opportunity,талисман знак зодиака; оберег по знаку зодиака,zodiac selection/meaning; potential product selection,CONTAMINATED,,,,,,Large broad demand,Quoted precision collapses; stones/jewelry dominate Search/Alice/People-search,HIGH,05.2 scoring with contamination preserved,,Do not split individual signs in 05.1
1.0,OU10,Generic automotive gift,подарок автомобилисту; подарок мужчине в машину,broad practical gift ideation,MIXED,,,,,,Real gift demand + marketplace product participation,Clean Alice does not naturally select pendant/amulet as central answer,HIGH,05.2 evidence scoring,,Likely weak default acquisition fit; score before decision
